module,metric,value_text,value_numeric,tolerance
D1,raw_occurrences,7239,7239,0
D1,valid_environment_occurrences,6323,6323,0
D1,thinned_occurrences,341,341,0
D2,model_rows,10341,10341,0
D2,glm_prediction_mean,0.0325950411774593,0.0325950411774593,1e-07
D2,maxent_prediction_mean,0.160361645040588,0.160361645040588,1e-07
D3,auc,0.853,0.853,1e-08
D3,threshold,0.25,0.25,1e-08
D3,selected_predictor_count,6,6,0
D3,selected_predictors,bio15;bio18;bio19;bio2;bio3;bio8,,0
D4,maximum_absolute_prediction_change,0,0,1e-10
D4,range_class_percent_Absent,63.78,63.78,0.05
D4,range_class_percent_Stable,36.22,36.22,0.05
D5,best_setting,fc.LQ_rm.0.5,,0
D5,best_AICc,6450.12718352004,6450.12718352004,1
D5,best_validation_AUC,0.778839927536232,0.778839927536232,0.001
D6,A..Random.kFold...Global.BG__mean_validation_AUC,0.740847857523444,0.740847857523444,0.002
D6,A..Random.kFold...Global.BG__mean_train_test_gap,0.0326162677324274,0.0326162677324274,0.002
D6,B..Block...Global.BG__mean_validation_AUC,0.711716877850766,0.711716877850766,0.002
D6,B..Block...Global.BG__mean_train_test_gap,0.155630531981998,0.155630531981998,0.002
D6,C..Block...Buffered.BG__mean_validation_AUC,0.702483256137903,0.702483256137903,0.002
D6,C..Block...Buffered.BG__mean_train_test_gap,0.161594346570147,0.161594346570147,0.002
D7,predicted_niche_cells,7945,7945,10
D7,predicted_niche_mean,0.714971488485771,0.714971488485771,0.001
D8,world_features,242,242,0
D8,coarse_raster_cells,225,225,0
D8,fine_raster_cells,3600,3600,0
D9,Schoener_D,0.176039423437307,0.176039423437307,1e-08
D9,Hellinger_I,0.383408809835895,0.383408809835895,1e-08
D9,dynamic_expansion,0.000130549094856352,0.000130549094856352,1e-08
D9,dynamic_stability,0.999869450905144,0.999869450905144,1e-08
D9,dynamic_unfilling,0.617953810062955,0.617953810062955,1e-08
D10,deep_time_rows,501,501,0
D10,pliocene_rows,361,361,0
D10,holocene_rows,121,121,0
D10,anthropocene_rows,251,251,0
D11,bio1_cutoff,58,58,1e-08
D11,mean_prediction_Bioclim,0.0497078544061302,0.0497078544061302,1e-07
D11,mean_prediction_GLM,0.486077516771175,0.486077516771175,1e-07
D11,mean_prediction_GAM,0.492380317339992,0.492380317339992,1e-07
D11,mean_prediction_RF,0.00549666666666667,0.00549666666666667,1e-07
D11,mean_prediction_MAXNET_CLAMPED,0.125634609654867,0.125634609654867,1e-07
D11,mean_prediction_MAXNET_NO_CLAMPED,0.261204725789688,0.261204725789688,1e-07
D12,fold_cell_count,25,25,0
D12,fold_counts_signature,Checkerboard:Background:1:2490|Checkerboard:Background:2:2510|Checkerboard:Occurrence:1:186|Checkerboard:Occurrence:2:155|Hierarchical checkerboard:Background:1:1340|Hierarchical checkerboard:Background:2:1178|Hierarchical checkerboard:Background:3:1344|Hierarchical checkerboard:Background:4:1138|Hierarchical checkerboard:Occurrence:1:114|Hierarchical checkerboard:Occurrence:2:53|Hierarchical checkerboard:Occurrence:3:114|Hierarchical checkerboard:Occurrence:4:60|Random 4-Fold:Background:0:5000|Random 4-Fold:Occurrence:1:85|Random 4-Fold:Occurrence:2:85|Random 4-Fold:Occurrence:3:86|Random 4-Fold:Occurrence:4:85|Spatial Block:Background:1:1528|Spatial Block:Background:2:596|Spatial Block:Background:3:2043|Spatial Block:Background:4:833|Spatial Block:Occurrence:1:86|Spatial Block:Occurrence:2:85|Spatial Block:Occurrence:3:85|Spatial Block:Occurrence:4:85,,0
D13,mys_dt_rows,957,957,0
D13,lby_dt_rows,5326,5326,0
D13,col_dt_rows,3336,3336,0
D13,chn_dt_rows,34341,34341,0
D14,built_models,24,24,0
D14,R2_DNN_calibration,0.61675,0.61675,0.05
D14,R2_DNN_validation,0.441,0.441,0.05
D14,R2_DNN_evaluation,0.50575,0.50575,0.05
D14,R2_GBM_calibration,0.79075,0.79075,0.05
D14,R2_GBM_validation,0.41075,0.41075,0.05
D14,R2_GBM_evaluation,0.5565,0.5565,0.05
D14,R2_GLM_calibration,0.43175,0.43175,0.05
D14,R2_GLM_validation,0.339,0.339,0.05
D14,R2_GLM_evaluation,0.26925,0.26925,0.05
D14,R2_MARS_calibration,0.63075,0.63075,0.05
D14,R2_MARS_validation,0.3575,0.3575,0.05
D14,R2_MARS_evaluation,0.461,0.461,0.05
D14,R2_RF_calibration,0.908,0.908,0.05
D14,R2_RF_validation,0.4355,0.4355,0.05
D14,R2_RF_evaluation,0.57725,0.57725,0.05
D14,R2_XGBOOST_calibration,0.6225,0.6225,0.05
D14,R2_XGBOOST_validation,0.37825,0.37825,0.05
D14,R2_XGBOOST_evaluation,0.4895,0.4895,0.05
D15,clean_occurrences,4538,4538,0
D15,expert_buffer_occurrences,2510,2510,0
D15,best_setting,fc.LQ_rm.0.1,,0
D15,best_AICc,2070.27183872138,2070.27183872138,1e-05
D15,best_validation_AUC,0.998454333333333,0.998454333333333,1e-07
