module,scenario,year,status,result_status,pixel_count,area_km2,model,Loss,Stable_Abs,Stable_Pres,Gain,PercLoss,PercGain,SpeciesRangeChange,CurrentRangeSize,FutureRangeSize.NoDisp,FutureRangeSize.FullDisp
D4,course-declared +2 C and -10 percent precipitation,,Absent,reproduced_adapted,13861,3304381.17532041,,,,,,,,,,,
D4,course-declared +2 C and -10 percent precipitation,,Stable,reproduced_adapted,7873,1996157.71776848,,,,,,,,,,,
D4 sensitivity,selected bio8 +2 deg C,,Absent,teaching_simulation,9903,2391071.2316821,,,,,,,,,,,
D4 sensitivity,selected bio8 +2 deg C,,Gain,teaching_simulation,3940,908788.077571342,,,,,,,,,,,
D4 sensitivity,selected bio8 +2 deg C,,Stable,teaching_simulation,6439,1591863.92895321,,,,,,,,,,,
D4 sensitivity,selected bio8 +2 deg C,,Loss,teaching_simulation,1434,404293.788815274,,,,,,,,,,,
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN1_DNN,437,62,19,485,95.8333333333333,106.359649122807,10.5263157894737,456,19,504
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN1_GBM,465,0,19,519,96.0743801652893,107.231404958678,11.1570247933884,484,19,538
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN1_GLM,407,29,21,546,95.0934579439252,127.570093457944,32.4766355140187,428,21,567
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN1_MARS,495,0,37,471,93.0451127819549,88.5338345864662,-4.51127819548871,532,37,508
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN1_RF,353,253,12,385,96.7123287671233,105.479452054795,8.76712328767124,365,12,397
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN1_XGBOOST,168,0,12,823,93.3333333333333,457.222222222222,363.888888888889,180,12,835
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN2_DNN,376,304,17,306,95.6743002544529,77.8625954198473,-17.8117048346056,393,17,323
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN2_GBM,406,0,15,582,96.437054631829,138.242280285036,41.8052256532067,421,15,597
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN2_GLM,392,108,14,489,96.551724137931,120.443349753695,23.8916256157635,406,14,503
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN2_MARS,523,13,16,451,97.0315398886827,83.6734693877551,-13.3580705009276,539,16,467
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN2_RF,356,282,8,357,97.8021978021978,98.0769230769231,0.274725274725284,364,8,365
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN2_XGBOOST,154,0,63,786,70.9677419354839,362.21198156682,291.244239631336,217,63,849
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN3_DNN,566,94,16,327,97.2508591065292,56.1855670103093,-41.0652920962199,582,16,343
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN3_GBM,164,0,83,756,66.3967611336032,306.072874493927,239.676113360324,247,83,839
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN3_GLM,386,38,24,555,94.1463414634146,135.365853658537,41.219512195122,410,24,579
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN3_MARS,331,3,54,615,85.974025974026,159.74025974026,73.7662337662338,385,54,669
D14,period1 to independent period2,,model_range_summary,reproduced_adapted,,,Periparus.ater_allData_RUN3_RF,495,41,18,449,96.4912280701754,87.5243664717349,-8.96686159844055,513,18,467
