full.name,PA,run,algo,metric.eval,cutoff,sensitivity,specificity,calibration,validation,evaluation
Periparus.ater_allData_RUN1_DNN,allData,RUN1,DNN,Rsquared,,,,0.586,0.531,0.492
Periparus.ater_allData_RUN1_DNN,allData,RUN1,DNN,Rsquared_aj,,,,0.583,0.514,0.489
Periparus.ater_allData_RUN1_DNN,allData,RUN1,DNN,RMSE,,,,1.512,3.738,2.702
Periparus.ater_allData_RUN1_GBM,allData,RUN1,GBM,Rsquared,,,,0.772,0.454,0.497
Periparus.ater_allData_RUN1_GBM,allData,RUN1,GBM,Rsquared_aj,,,,0.77,0.435,0.494
Periparus.ater_allData_RUN1_GBM,allData,RUN1,GBM,RMSE,,,,1.237,3.996,2.789
Periparus.ater_allData_RUN1_GLM,allData,RUN1,GLM,Rsquared,,,,0.553,0.59,0.244
Periparus.ater_allData_RUN1_GLM,allData,RUN1,GLM,Rsquared_aj,,,,0.55,0.576,0.239
Periparus.ater_allData_RUN1_GLM,allData,RUN1,GLM,RMSE,,,,1.594,3.562,3.358
Periparus.ater_allData_RUN1_MARS,allData,RUN1,MARS,Rsquared,,,,0.59,0.483,0.415
Periparus.ater_allData_RUN1_MARS,allData,RUN1,MARS,Rsquared_aj,,,,0.587,0.465,0.411
Periparus.ater_allData_RUN1_MARS,allData,RUN1,MARS,RMSE,,,,1.529,3.756,2.859
Periparus.ater_allData_RUN1_RF,allData,RUN1,RF,Rsquared,,,,0.908,0.518,0.534
Periparus.ater_allData_RUN1_RF,allData,RUN1,RF,Rsquared_aj,,,,0.907,0.501,0.532
Periparus.ater_allData_RUN1_RF,allData,RUN1,RF,RMSE,,,,0.784,3.757,2.631
Periparus.ater_allData_RUN1_XGBOOST,allData,RUN1,XGBOOST,Rsquared,,,,0.624,0.453,0.459
Periparus.ater_allData_RUN1_XGBOOST,allData,RUN1,XGBOOST,Rsquared_aj,,,,0.621,0.434,0.456
Periparus.ater_allData_RUN1_XGBOOST,allData,RUN1,XGBOOST,RMSE,,,,1.5,3.924,2.825
Periparus.ater_allData_RUN2_DNN,allData,RUN2,DNN,Rsquared,,,,0.593,0.514,0.515
Periparus.ater_allData_RUN2_DNN,allData,RUN2,DNN,Rsquared_aj,,,,0.59,0.486,0.512
Periparus.ater_allData_RUN2_DNN,allData,RUN2,DNN,RMSE,,,,1.832,3.067,2.597
Periparus.ater_allData_RUN2_GBM,allData,RUN2,GBM,Rsquared,,,,0.788,0.518,0.583
Periparus.ater_allData_RUN2_GBM,allData,RUN2,GBM,Rsquared_aj,,,,0.787,0.49,0.58
Periparus.ater_allData_RUN2_GBM,allData,RUN2,GBM,RMSE,,,,1.487,2.614,2.531
Periparus.ater_allData_RUN2_GLM,allData,RUN2,GLM,Rsquared,,,,0.603,0.458,0.361
Periparus.ater_allData_RUN2_GLM,allData,RUN2,GLM,Rsquared_aj,,,,0.6,0.426,0.357
Periparus.ater_allData_RUN2_GLM,allData,RUN2,GLM,RMSE,,,,1.825,2.986,3.027
Periparus.ater_allData_RUN2_MARS,allData,RUN2,MARS,Rsquared,,,,0.68,0.324,0.413
Periparus.ater_allData_RUN2_MARS,allData,RUN2,MARS,Rsquared_aj,,,,0.678,0.285,0.41
Periparus.ater_allData_RUN2_MARS,allData,RUN2,MARS,RMSE,,,,1.647,3.288,2.856
Periparus.ater_allData_RUN2_RF,allData,RUN2,RF,Rsquared,,,,0.912,0.543,0.623
Periparus.ater_allData_RUN2_RF,allData,RUN2,RF,Rsquared_aj,,,,0.911,0.517,0.62
Periparus.ater_allData_RUN2_RF,allData,RUN2,RF,RMSE,,,,0.96,2.621,2.342
Periparus.ater_allData_RUN2_XGBOOST,allData,RUN2,XGBOOST,Rsquared,,,,0.615,0.537,0.542
Periparus.ater_allData_RUN2_XGBOOST,allData,RUN2,XGBOOST,Rsquared_aj,,,,0.613,0.51,0.539
Periparus.ater_allData_RUN2_XGBOOST,allData,RUN2,XGBOOST,RMSE,,,,1.855,2.78,2.604
Periparus.ater_allData_RUN3_DNN,allData,RUN3,DNN,Rsquared,,,,0.672,0.238,0.483
Periparus.ater_allData_RUN3_DNN,allData,RUN3,DNN,Rsquared_aj,,,,0.668,0.229,0.48
Periparus.ater_allData_RUN3_DNN,allData,RUN3,DNN,RMSE,,,,2.285,1.459,2.693
Periparus.ater_allData_RUN3_GBM,allData,RUN3,GBM,Rsquared,,,,0.8,0.192,0.565
Periparus.ater_allData_RUN3_GBM,allData,RUN3,GBM,Rsquared_aj,,,,0.797,0.183,0.563
Periparus.ater_allData_RUN3_GBM,allData,RUN3,GBM,RMSE,,,,2.05,1.495,2.673
Periparus.ater_allData_RUN3_GLM,allData,RUN3,GLM,Rsquared,,,,0.567,0.303,0.471
Periparus.ater_allData_RUN3_GLM,allData,RUN3,GLM,Rsquared_aj,,,,0.562,0.295,0.467
Periparus.ater_allData_RUN3_GLM,allData,RUN3,GLM,RMSE,,,,2.636,1.327,2.753
Periparus.ater_allData_RUN3_MARS,allData,RUN3,MARS,Rsquared,,,,0.61,0.217,0.506
Periparus.ater_allData_RUN3_MARS,allData,RUN3,MARS,Rsquared_aj,,,,0.605,0.208,0.503
Periparus.ater_allData_RUN3_MARS,allData,RUN3,MARS,RMSE,,,,2.504,1.421,2.662
Periparus.ater_allData_RUN3_RF,allData,RUN3,RF,Rsquared,,,,0.909,0.179,0.578
Periparus.ater_allData_RUN3_RF,allData,RUN3,RF,Rsquared_aj,,,,0.908,0.169,0.576
Periparus.ater_allData_RUN3_RF,allData,RUN3,RF,RMSE,,,,1.359,1.396,2.502
Periparus.ater_allData_RUN3_XGBOOST,allData,RUN3,XGBOOST,Rsquared,,,,0.624,0.074,0.422
Periparus.ater_allData_RUN3_XGBOOST,allData,RUN3,XGBOOST,Rsquared_aj,,,,0.62,0.063,0.419
Periparus.ater_allData_RUN3_XGBOOST,allData,RUN3,XGBOOST,RMSE,,,,2.533,1.966,2.986
Periparus.ater_allData_RUN4_DNN,allData,RUN4,DNN,Rsquared,,,,0.616,0.481,0.533
Periparus.ater_allData_RUN4_DNN,allData,RUN4,DNN,Rsquared_aj,,,,0.613,0.463,0.531
