module,scope,algorithm,setting,metric,value,result_status
D3,random 70/30 holdout,maxnet,threshold=0.25,AUC,0.853,reproduced_adapted
D3,random 70/30 holdout,maxnet,threshold=0.25,TSS,0.559233139553353,reproduced_adapted
D3,random 70/30 holdout,maxnet,threshold=0.25,sensitivity,0.923809523809524,reproduced_adapted
D3,random 70/30 holdout,maxnet,threshold=0.25,specificity,0.635423615743829,reproduced_adapted
D3,random 70/30 holdout,maxnet,threshold=0.25,threshold,0.25,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 0.5,auc.train,0.784225219941349,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 1,auc.train,0.781976686217009,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 1.5,auc.train,0.775561876832845,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 2,auc.train,0.766726686217009,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 2.5,auc.train,0.756928299120235,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 3,auc.train,0.74854706744868,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 0.5,auc.train,0.720220381231672,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 1,auc.train,0.720324633431085,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 1.5,auc.train,0.720258944281525,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 2,auc.train,0.720144574780059,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 2.5,auc.train,0.71996788856305,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 3,auc.train,0.719726686217009,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 0.5,auc.val.avg,0.778839927536232,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 1,auc.val.avg,0.775877248508099,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 1.5,auc.val.avg,0.769944239130435,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 2,auc.val.avg,0.762694179454391,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 2.5,auc.val.avg,0.753777320971867,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 3,auc.val.avg,0.745172527706735,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 0.5,auc.val.avg,0.715957636402387,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 1,auc.val.avg,0.715954620630861,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 1.5,auc.val.avg,0.715938303495311,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 2,auc.val.avg,0.715826457800512,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 2.5,auc.val.avg,0.715748410059676,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 3,auc.val.avg,0.715598124467178,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 0.5,auc.diff.avg,0.0284174823700383,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 1,auc.diff.avg,0.0295838264218731,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 1.5,auc.diff.avg,0.0303040968962836,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 2,auc.diff.avg,0.0308907704486477,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 2.5,auc.diff.avg,0.032310092570473,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 3,auc.diff.avg,0.033263453762776,reproduced_adapted
